# source=Hikvision iSecure Center V1.7.0 public return codes and Appendix E
# sectionKey	sectionName	errorCode	description	message
OFFICIAL	附录E.1.2 电视墙错误码	0x0161103c	解码设备设备离线
OFFICIAL	附录E.1.2 电视墙错误码	0x01611041	服务内部错误：解码设备设置拼接模式失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01611042	国标解码设备注册信息无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01611043	部分解码设备插件无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01611044	服务内部错误：解码设备清空输出失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01611046	该解码设备存在已经打开的音频
OFFICIAL	附录E.1.2 电视墙错误码	0x01611047	logo大小超限
OFFICIAL	附录E.1.2 电视墙错误码	0x01611048	同一个设备关联到多个电视墙，超过限制
OFFICIAL	附录E.1.2 电视墙错误码	0x01632001	电视墙资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01632002	电视墙数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01632003	电视墙行、列达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01632004	电视墙行数×列数，（输出通道数量）超出最大值
OFFICIAL	附录E.1.2 电视墙错误码	0x01632005	电视墙名称已存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01632006	添加电视墙时，行列参数错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01632007	关联led屏时，可能led的长宽大于1080p了，且实际通道分辨率小于led长宽
OFFICIAL	附录E.1.2 电视墙错误码	0x01632014	同一个电视墙，必须关联同一种类型的解码设备（同为开窗或者非开窗设备）
OFFICIAL	附录E.1.2 电视墙错误码	0x01632015	输出通道已关联
OFFICIAL	附录E.1.2 电视墙错误码	0x01632016	全彩屏，只能关联一个解码设备
OFFICIAL	附录E.1.2 电视墙错误码	0x01632017	窗口告警联动分割失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01632018	不支持虚拟分屏
OFFICIAL	附录E.1.2 电视墙错误码	0x01632019	虚拟分屏参数不正确
OFFICIAL	附录E.1.2 电视墙错误码	0x0163201a	不支持同步设备窗口
OFFICIAL	附录E.1.2 电视墙错误码	0x0163201b	场景计划时间错误，星期无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01633001	场景资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01633002	场景数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01633004	场景名称已存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01633005	场景计划中场景自启动时间冲突
OFFICIAL	附录E.1.2 电视墙错误码	0x01633006	设备场景资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01633007	设备场景达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01633008	当前解码设备不支持设备场景
OFFICIAL	附录E.1.2 电视墙错误码	0x01633014	非当前场景，操作无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01633017	无法删除当前设备场景
OFFICIAL	附录E.1.2 电视墙错误码	0x01633018	场景自启动时间不允许小于10分钟
OFFICIAL	附录E.1.2 电视墙错误码	0x01633019	最后一个场景，不能删除
OFFICIAL	附录E.1.2 电视墙错误码	0x01633029	轮巡资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x0163302a	轮巡数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x0163302b	轮巡中监控点数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x0163302c	轮巡名称已存在
OFFICIAL	附录E.1.2 电视墙错误码	0x0161302e	获取轮巡监控点失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161302f	场景计划中轮巡时间冲突
OFFICIAL	附录E.1.2 电视墙错误码	0x01613030	轮巡持续时间不允许小于10秒
OFFICIAL	附录E.1.2 电视墙错误码	0x01634001	窗口资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01634002	输出通道无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01634003	窗口不支持设置制式
OFFICIAL	附录E.1.2 电视墙错误码	0x01634004	窗口不支持设置分辨率
OFFICIAL	附录E.1.2 电视墙错误码	0x01634014	窗口已关联解码设备通道
OFFICIAL	附录E.1.2 电视墙错误码	0x01614016	窗口取消关联操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01614017	窗口已有开窗，取消关联操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161401a	该解码设备分割资源不足，分割操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161401b	该窗口未关联解码通道，分割操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01614020	该解码设备可关联的电视墙已到最大值
OFFICIAL	附录E.1.2 电视墙错误码	0x01614021	led区域分辨率超过了设备输出口图像分辨率最大值
OFFICIAL	附录E.1.2 电视墙错误码	0x01634029	拼接窗口资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x0163402a	该解码设备不支持拼接
OFFICIAL	附录E.1.2 电视墙错误码	0x0163402b	子窗口不存在，请刷新该电视墙
OFFICIAL	附录E.1.2 电视墙错误码	0x0163402c	子窗口数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x0161403d	无空闲拼接窗口，开窗操作失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161403e	多分割下不能进行拼接
OFFICIAL	附录E.1.2 电视墙错误码	0x0161403f	不同设备解码通道关联的窗口不支持拼接
OFFICIAL	附录E.1.2 电视墙错误码	0x01614042	该窗口已拼接
OFFICIAL	附录E.1.2 电视墙错误码	0x01634051	窗口资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01634052	开窗数量已经达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01634053	该解码设备不支持开窗操作
